"A Catran é uma boa loja e antiga no ramo.Porém, faço crítica à construção do site, digo loja virtual. Tive grande dificuldades na hora do fechamento da compra.Gostaria de pagar pelo shopline ( débito da conta) opção oferecida e não consegui! Não andava  a opção de jeito nenhum. O problema não era meu saldo bancário, fique esclarecido. Para adquirir o produto, esse com finalidade para presentear, tive que optar a usar opção cartão de crédito em valor tão modesto. A embalagem solicitada para presente, fica aquém do esperado. Mas, com persistência adquiri e chegou em ótimo prazo de entrega. Entrega perfeita! Na intenção de contribuir para melhorias do site, agradeço o espaço destinado.","2015-12-08 18:26:20"
"Muito prático, ágil e dentro dos prazos estipulados.","2015-12-08 18:12:04"
"Gostei e vou continuar comprando pois td chegou certo.Demorou mas chegou.","2015-12-08 18:13:18"
"otima empresa","2015-12-08 18:13:14"
"Mercadoria chegou antes do previsto, segurança na compra e ótimos profissionais.","2015-12-08 18:16:49"
"Muito bem detalhado o produto e fácil utilização do site.","2015-12-08 18:17:33"
"OTIMA","2015-12-08 18:16:32"
"A mercadoria chegou correta e no prazo. Mas, o site deveria voltar para a foto em que estava quando retornamos de ver um produto em especial, perde-se muito tempo sem essa funcionalidade. ","2015-12-08 18:18:44"
"Faltou comunicação com o cliente, mas cumpriu com seus deveres.","2015-12-08 18:18:21"
"não tive problema, mas não consigo falar na loja pelo 0800","2015-12-08 18:19:46"
"nota 1000 parabéns ","2015-12-08 18:24:20"
"World Tennis parabéns pela eficiência e rapidez!","2015-12-08 18:30:58"
"nada a reclamar","2015-12-08 18:35:14"
"O produto chegou antes do prazo de entrega, recomendo!","2015-12-08 18:33:08"
"Preço justo e logística bem eficiente. Gostei bastante.","2015-12-08 18:37:16"
"Sensacional. Rapida e atenciosa. ","2015-12-08 18:37:12"
"Bom atendimento, entrega rápida.","2015-12-08 18:38:12"
"Recomendo.","2015-12-08 18:41:07"
"Entrega super rápida e conforme o combinado.","2015-12-08 18:44:16"
"adorei comprar neste site pois é muito fácil e a entrega e rápida e principalmente os valores dos produtos, gostei vocês estão de parabens pelo atendimento.","2015-12-08 18:51:17"
"Excelente prazo e visibilidade do rastreamento da entrega. Parabéns.","2015-12-08 18:53:22"
"Atendeu no prazo e preço justo","2015-12-08 18:52:13"
"quanto ao produto bom.penso que o processo de entrega tem ser mais transparente aos codigos de correios ou seja envia-los corretos ","2015-12-08 18:57:09"
"Excelente o atendimento.","2015-12-08 18:55:40"
"ótimo preço.","2015-12-08 18:59:20"
"Tudo ok.","2015-12-08 19:00:00"
"A descrição do material foi bem detalhado não havendo necessidade de fazer perguntas sobre o item.","2015-12-08 19:01:10"
"Já havia visto a loja na americanas e submarino, mas nunca tive coragem de comprar, decidi arriscar um pouco, mas fiquei bastante satisfeito com o serviço. É uma loja para itens de decoração. Utilidades domésticas achei um pouco caro.","2015-12-08 19:03:38"
"A entrega foi muito rápida, antes até do prazo previsto. Empresa muito confiável!","2015-12-08 19:02:06"
