"Entrega espetacular.","2015-11-29 15:17:46"
"Sempre correta com os produtos e prazo. Ótimo atendimento quanto a informações sobre o andamento da negociação e entrega.","2015-11-29 15:19:47"
"chegou rapidinho. Adorei.","2015-11-29 15:19:28"
"LOja com funcionaria prestativa e eficiente, otimo.","2015-11-29 15:20:18"
"Perfeito!!!","2015-11-29 15:20:11"
"Sem problemas. O processo de entrega foi muito bem comunicado e a entrega ocorreu no dia agendado.","2015-11-29 15:20:24"
"Estou apaixonada pela eficiência e atendimento desta loja.","2015-11-29 15:20:16"
"Preços bons, entrega antes do prazo. Só fiquei insatisfeita com a política de troca, que não aceita trocas por erro de tamanho,porém 1 dos topos que eu comprei não coube. Todos eram M, do mesmo fabricante, e esse estava com a forma menor. ","2015-11-29 15:21:46"
"ótima!!","2015-11-29 15:25:01"
"Foi bom, só que atrasou 2 dias do dia previsto","2015-11-29 15:28:06"
"Achei muito legal","2015-11-29 15:29:50"
"Rapida","2015-11-29 15:32:11"
"Muito bom","2015-11-29 15:34:30"
"Compra muito tranquila, mas gostaria que o prazo de entrega tivesse sido menor...","2015-11-29 15:38:06"
"rapidez entrega","2015-11-29 15:38:00"
"Exwlwnte","2015-11-29 15:40:03"
"Eu gostei desta experiência, é muito confiável e segura.","2015-11-29 15:48:52"
"Eu achei a compra boa só podiam mandar o código de rastreio.","2015-11-29 15:42:10"
"Todo procedimento correto.. entrega e envio  ","2015-11-29 15:43:17"
"Gostei muito da loja, rápida, prática e a entrega foi dentro do prazo prometido.","2015-11-29 15:44:47"
"otima loja ","2015-11-29 15:45:02"
"Sem burocracia. Site bem amigável.","2015-11-29 15:47:01"
"muito demorada a entrega. 
ja comprei outras vezes mais não demorou tanto quanto desta vez.","2015-11-29 15:50:04"
"Rápido e prático! Ótima experiência! ","2015-11-29 15:51:18"
"Pura elegância","2015-11-29 16:00:42"
"Eu achei mto bom comprar na loja, estava desconfiado, porém algum representante da loja me ligou, para confirmar alguns dados cartão, achei bem legal e seguro.","2015-11-29 15:59:48"
"⭐️⭐️⭐️⭐️⭐️","2015-11-29 16:03:53"
"entrega rapida,sem nenhum problema.","2015-11-29 16:06:02"
"Sempre compro na World Tennis, e nunca tive problemas nem com a compra e muito menos com a entrega. Grato.","2015-11-29 16:05:49"
"Compra sistema on-line otimo.","2015-11-29 16:08:52"
"A loja é muito boa, o atendimento idem!","2015-11-29 16:08:19"
"O correio demorou para entregar .","2015-11-29 16:12:57"
"Atendimento Top.!!!","2015-11-29 16:18:22"
"O tempo de entrega foi muito bom, e eu gostei da qualidade da bateria! Ela está rendendo bem no meu MacBook White! Recomendo!","2015-11-29 16:20:29"
"Recomendo esta loja, produto chegou antes do prazo, nota 10 ","2015-11-29 16:23:24"
"Bom preço, entrega rápida. ","2015-11-29 16:25:37"
"A entrega foi rápida e o produto de ótima qualidade.","2015-11-29 16:29:00"
"LINDA E ÓTIMA","2015-11-29 16:28:51"
"Compra fácil. Entrega rápida.","2015-11-29 16:29:05"
"Comprarei outras vezes. Bom atendimento. E recebi muito rápido. Tudo perfeito.","2015-11-29 16:31:01"
"gostei muito bom otimo","2015-11-29 16:30:03"
"LINDAS","2015-11-29 16:29:39"
"ótima","2015-11-29 16:29:44"
"bom ","2015-11-29 16:30:13"
"Entrega muito rápida. Ótima experiência.","2015-11-29 16:30:38"
"otima","2015-11-29 16:31:27"
"esperava um atendimento melhor","2015-11-29 16:34:25"
"O atendimento via telefone foi excelente, rápido.  O pós venda no site não é otimizado, mas a compre foi rápida.","2015-11-29 16:38:47"
"Boa","2015-11-29 16:46:16"
"entrega rapida parabens.","2015-11-29 16:47:25"
" ótima sem dificuldades para o pagamento e envio rápido da loja ","2015-11-29 16:47:52"
"Muito boa.","2015-11-29 16:55:26"
"ÓTIMOS PRODUTOS","2015-11-29 16:56:31"
"tudo ok","2015-11-29 16:56:55"
"Excelente.","2015-11-29 16:56:59"
"Muito bom. Entrega rápida e eficiente.","2015-11-29 16:58:41"
"Primeira vez que compra super recomendo, entrega rápido antes do prazo. ","2015-11-29 17:01:03"
"Entrega super rápida ! Produtos embalados ! ","2015-11-29 17:02:04"
"veio no prazo certo. Em menos dias até.","2015-11-29 17:02:20"
"Época Cosméticos nota 1.000!","2015-11-29 17:06:37"
"A compra como sempre foi excelente, como de outras vezes, mas o que nunca havia acontecido e também achei fantástico foi a troca. A atendente foi extremamente educada e atenciosa.Recomendo muito a World Tennis.","2015-11-29 17:08:25"
"Excelente!","2015-11-29 17:09:24"
"O produto foi roubado e a loja ainda não deu um retorno.","2015-11-29 17:10:18"
"muito boa","2015-11-29 17:12:06"
"Tive problemas para fechar de inicio a compra pelo site,mas foi tudo resolvido pelo atendimento on-line","2015-11-29 17:16:59"
"Tem ótimos preços e ainda ganhei um lindo brinde.","2015-11-29 17:19:25"
"MUITO BOM!!! FAREI NOVAS COMPRAS!!!","2015-11-29 21:18:11"
"Satisfeito!","2015-11-29 17:25:03"
"Virei cliente, vendedor super atencioso, educado e pronto para tirar qualquer dúvida.","2015-11-29 17:26:03"
"Boa negociação e entrega rápida ","2015-11-29 17:28:25"
"otima loja fui bem atendido e de confianca ","2015-11-29 17:32:05"
"Loja excelente com produtos lindos e de qualidade. Só não dei 5 corações na avaliação porque teve um engano num dos produtos que comprei. ","2015-11-29 17:40:39"
"Não conhecia a KD, comprei os pneus e foi entregue antes do prazo e sem nenhum problema..eu recomendo.","2015-11-29 17:39:18"
"Entrega rápida, gosto de comprar nessa loja","2015-11-29 17:38:43"
"Eu achei ótimo! Me surpreendeu o tempo de entrega do produto. Foi super rápida!!","2015-11-29 17:39:57"
"Fui muito bem atendida pela vendedora Jennifer e pela gerente Kelva.
Produto de qualidade é excelente atendimento na loja da Oscar Freire.","2015-11-29 21:37:43"
"Ótimo","2015-11-29 17:40:01"
"sou cliente e nunca tive problema, super indico.","2015-11-29 17:41:21"
"PODERIA AUMENTAR O NUMERO DE FRAGRÂNCIAS , DEVIDO A COBRANÇA CADA VEZ MAIS RIGIDA PELOS CLIENTES  ","2015-11-29 17:42:20"
"Muito bom","2015-11-29 17:43:24"
"Fácil de comprar e entrega organizada.","2015-11-29 17:43:22"
"A rpoca arrasa nas vendas e no pos vendas! Equipe super atenciosa!","2015-11-29 17:48:08"
"Obrigada pela eficiência!","2015-11-29 17:50:01"
"Correu tudo bem, desde o 1º contato com bom atendimento e informações técnicas, até a rápida entrega sendo informado o status da entrega diariamente.
Parabéns!!! Poucas empresas trabalham com esse padrão de qualidade no nosso país!","2015-11-29 17:57:48"
"otimo","2015-11-29 17:54:40"
"entrega no prazo e bem embalado.","2015-11-29 17:58:03"
"maravilhosa, perfeita, chegou antes do prazo marcado... muito feliz....","2015-11-29 17:57:48"
"Muito bom","2015-11-29 17:57:34"
"Confio!","2015-11-29 17:57:52"
"À princípio boa, mas estou muito insatisfeita com o vestido!!","2015-11-30 17:03:32"
"ótima","2015-11-29 18:02:23"
"site ótimo de se comprar, entrega super rápida, e o melhor eles te avisam passo a passo do produto até a chegada dele em sua casa","2015-11-29 18:06:10"
"A compra foi rápida e a entrega também.","2015-11-29 18:04:32"
"Entrega super rápida. Produto de qualidade.","2015-11-29 18:08:10"
"Loja que se diz OUTLET,mas na verdade vende roupas com defeito,seria mais honesto falar a verdade do que enganar a cliente.Experimentei uma calça com um defeito gritante na costura de traz.Não volto mais!","2015-11-29 18:15:35"
"Tudo ótimo,recebimento de emails constantes sobre o passo a passo da compra,e estado de encomenda fos correios.
Só como sugestão de melhorias,o produto que comprei,a foto do site não se dava pra distinguir direito se a corrente era de Ouro amarelo ou branco,,e tirei minha dúvida on line no site, aliás muito funcional!!
Parabéns!!","2015-11-29 18:17:35"
"O produto exatamente como descrito.","2015-11-29 18:14:57"
"muito bom.","2015-11-29 18:18:03"
"Flata de comprometimento pois nao responde minhas mensagens com as respostas que preciso","2015-11-29 18:22:23"
"A loja tem ótimos preços e entrega rápida. Virei cliente.","2015-11-29 18:24:51"
"Ótimo .. Ameiii ","2015-11-29 18:29:29"
"Envio rápido. Bem embalado.","2015-12-01 23:00:21"
"rapido e eficiente.","2015-11-29 18:30:39"
"Excelente experiencia de compra e entrega no prazo. Já sou cliente!","2015-11-29 18:31:37"
"Excelente!!!!","2015-11-29 18:33:06"
"Entrega rapida e organizada! Recomendo!!!!","2015-12-11 10:13:19"
"Bom@","2015-11-29 18:33:46"
"A loja está de parabéns. Entrega rápida. Produto super bem embalado. Confesso que tinha medo de comprar, por ser produto delicado, tinha receio que o mesmo viesse danificado. Mas, ao contrário, estava em perfeitas condições. Atendeu as munhas expectativas.....","2015-11-29 18:37:14"
"Bastante rapida no envio.","2015-11-29 18:38:49"
"Comprei pela internet. Infelizmente na loja não havia no mostruário para eu ver e só conheci a mesa pessoalmente, quando chegou. Na loja o vendedor me disse que não reportasse defeito assim que o produto fosse entregue, não teria como devolver mais. Agora estou com uma das partes com o vidro maior que o encaixe da mesa :(","2015-11-29 18:39:33"
"Adorei a experiência, comprarei mais vezes!","2015-11-29 18:39:22"
"Entrega antes do prazo prometido e produto compatível com o pedido. ","2015-11-29 18:40:33"
"Minha primeira de outras compras que virão. Adorei os mimos... obrigada ","2015-11-29 18:42:41"
"A compra foi rápida e não tive problemas com a entrega.","2015-11-29 18:45:23"
"otima","2015-11-29 18:45:50"
"Loja eficiente!!!","2015-11-29 18:51:29"
"Amei!!!!  Ja indiquei para varias amigad","2015-11-29 18:55:50"
"uma compra não entregue pode ser avaliada como? comprei em outra loja e já recebi o produto!","2015-11-29 19:00:45"
"Excelente atendimento e entrega antes do esperado.","2015-11-29 19:03:00"
"Bom.","2015-11-29 19:04:46"
"gostei muito do atendimento chegou certinho e muito rápido..","2015-11-29 19:05:36"
"Amoooooo","2015-11-29 19:08:12"
"Eu achei lindo esse vestido, e comprei não me arrependi, o tecido e muito macio e bom e veste muito bem. Apesar do preço estar um pouquinho salgado, mas estou satisfeita, a entrega foi super rápida e o capricho da embalagem nota 10 pra Flaminga. ","2015-12-02 16:21:20"
"Inseparável! Enfim uma loja que me agrada em tudo!
Parabéns a todos!","2015-11-29 19:11:28"
"Época é sempre responsável e competente quanto à entrega dos produtos. Só fico triste porque não recebi amostra. ","2015-11-29 19:22:00"
"Super fácil ","2015-11-29 19:18:22"
"Eu gosto muito das roupas da Toli, o atendimento é perfeito e a entrega ocorre sempre antes da data marcada.
Parabéns!!!","2015-11-29 19:20:25"
"ok","2015-11-29 19:18:45"
"Entrega rapida em 4 dias, um maximo, porem tive que buscar nos correios poderiam verificar porque eles colocaram como o endereço estava insuficiente?","2015-11-29 19:21:33"
"Otíma loja","2015-11-29 19:26:52"
